obstruction_ring_edge_id,site_model_obstruction_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,obstruction_ring_winding_direction
0,1,0.0,0.0,,,-328.5892735569468,-190.92909755736756,163.26876067438448,None,-327.8460872333714,-191.18137532003425,163.26876067438448,
0,1,0.0,0.0,,,-329.9457415368086,-190.1459404040472,163.26876067438448,None,-329.2931729627563,-190.58197278500649,163.26876067438448,
0,6,0.0,0.0,,,-107.86166442662083,-235.85024100279523,148.68109508953842,None,-107.20309679019142,-236.31751966009645,148.68109508953842,
0,6,0.0,0.0,,,-108.46377251792232,-225.1287131121487,148.68109508953842,None,-109.00184920549644,-225.73082120345015,148.68109508953842,
0,1,0.0,0.0,,,-332.2931729627563,-185.38582036229985,163.26876067438448,None,-332.24184213099915,-186.16897751562013,163.26876067438448,
0,2,0.0,0.0,,,-325.67900670299076,110.74802973535635,164.15036611355706,None,-326.46216385631107,110.6966989035992,164.15036611355706,
0,2,0.0,0.0,,,-327.2319209736059,110.54358469309076,164.15036611355706,None,-327.9751072971813,110.29130693042408,164.15036611355706,
0,2,0.0,0.0,,,-330.8751591256974,101.74802973535635,164.15036611355706,None,-330.4391267447382,101.09546116130404,164.15036611355706,
0,3,0.0,0.0,,,-323.761583725524,73.02166518561287,159.09324721804813,None,-323.8910512820128,72.34992371564027,159.09324721804813,
0,0,0.0,0.0,,,-512.3095613468714,102.31718116292038,131.4611683064145,None,-511.9806770190601,101.84070995591176,131.4611683064145,
0,2,0.0,0.0,,,-331.62767587123363,105.53118688867669,164.15036611355706,None,-331.67900670299076,104.74802973535635,164.15036611355706,
0,2,0.0,0.0,,,-327.9751072971813,110.29130693042408,164.15036611355706,None,-328.67900670299076,109.944182158063,164.15036611355706,
0,0,0.0,0.0,,,-511.5473224486728,105.40970593906933,131.4611683064145,None,-511.9806770190601,105.02578729076912,131.4611683064145,
0,6,0.0,0.0,,,-96.2165365545958,-229.41420632473628,148.68109508953842,None,-96.3517982889036,-228.6181127758656,148.68109508953842,
0,2,0.0,0.0,,,-323.3829061088002,99.20475254028864,164.15036611355706,None,-322.67900670299076,99.55187731264972,164.15036611355706,
0,4,0.0,0.0,,,-288.72047208812506,-127.07721800673508,147.6138201810369,None,-288.72047208812506,-127.72593211727872,147.6138201810369,
0,5,0.0,0.0,,,-333.51589929623697,-124.82228683311824,161.82464865809075,None,-333.2785360870484,-125.49409014169466,161.82464865809075,
0,6,0.0,0.0,,,-98.88242940615136,-235.85024100279523,148.68109508953842,None,-98.28032131484991,-235.3121643152211,148.68109508953842,
0,0,0.0,0.0,,,-507.7814976632161,103.43324862334045,131.4611683064145,None,-507.85128306231104,104.00798309269246,131.4611683064145,
0,4,0.0,0.0,,,-287.9160446924314,-125.3384766854466,147.6138201810369,None,-288.30862974516475,-125.85491349047582,147.6138201810369,
0,6,0.0,0.0,,,-100.9937776080554,-223.42373552024395,148.68109508953842,None,-101.76972097856684,-223.2001900862024,148.68109508953842,
0,6,0.0,0.0,,,-100.9937776080554,-237.01714190712585,148.68109508953842,None,-100.24774235400024,-236.70812398688776,148.68109508953842,
0,0,0.0,0.0,,,-511.9806770190601,105.02578729076912,131.4611683064145,None,-512.3095613468714,104.54931608376052,131.4611683064145,
