polygon_exterior_ring_edge_id,mounting_plane_id,angle_between_bearing_vector_and_right_vector,angle_between_bearing_vector_and_up_vector,bearing_vector,edge_condition,end_point_x,end_point_y,end_point_z,siding_material,start_point_x,start_point_y,start_point_z,polygon_exterior_ring_winding_direction
89,19,0.0,0.0,,,-212.901581796,418.643404878,-65.186194872,,-376.57709574,418.643404878,-65.186194872,
109,24,0.0,0.0,,,418.57709574,-323.138884086,-81.562600392,,418.57709574,-353.138884086,-106.5626004,
111,25,0.0,0.0,,,418.57709574,-245.138884086,-106.5626004,,448.57709574,-275.138884086,-106.5626004,
21,3,0.0,0.0,,,-130.987358832,33.1990498740001,0.0,,-130.987358832,49.2865301220001,0.0,
105,23,0.0,0.0,,,418.57709574,-323.138884086,-81.562600392,,448.57709574,-323.138884086,-106.5626004,
120,28,0.0,0.0,,,448.57709574,-83.1388840859999,-106.5626004,,418.57709574,-83.1388840859999,-81.562600392,
41,8,0.0,0.0,,,100.403593284,-295.201604406,102.592315404,,237.193347156,-418.312382898,0.0,
78,16,0.0,0.0,,,60.7932024839999,-526.643404878,-103.434271788,,60.7932024839999,-495.054186378,-92.904532284,
69,14,0.0,0.0,,,-143.920589832,59.9560162500001,0.0,,-269.638421148,-90.9053813459999,125.717831328,
29,5,0.0,0.0,,,134.248271436,88.5793046220001,106.62560286,,240.873874296,88.5793046220001,0.0,
92,20,0.0,0.0,,,180.873874296,70.5793046220001,7.5,,180.873874296,88.5793046220001,0.0,
57,11,0.0,0.0,,,-233.60219204848147,-181.98600250108544,161.75406042751857,,-269.638421148,-117.66234771,125.717831328,
99,22,0.0,0.0,,,75.6226685879999,88.5793046220001,0.0,,27.6226685879999,88.5793046220001,0.0,
47,10,0.0,0.0,,,436.8304368119997,-418.3123828979997,1.6200374375330284E-12,,200.222138112,-194.2418458051525,177.45622402799918,
40,8,0.0,0.0,,,237.193347156,-418.312382898,0.0,,237.193347156,-506.505273198,0.0,
91,20,0.0,0.0,,,180.873874296,88.5793046220001,0.0,,240.873874296,88.5793046220001,0.0,
98,21,0.0,0.0,,,-448.57709574,-195.435979218,-77.186194872,,-376.57709574,-195.435979218,-65.186194872,
113,26,0.0,0.0,,,448.57709574,-83.1388840859999,-106.5626004,,418.57709574,-83.1388840859999,-81.562600392,
64,13,0.0,0.0,,,-293.991186636,-61.6820627699999,101.36506584,,-269.638421148,-90.9053813459999,125.717831328,
103,23,0.0,0.0,,,448.57709574,-275.138884086,-106.5626004,,418.57709574,-275.138884086,-81.562600392,
26,5,0.0,0.0,,,134.248271436,-78.6641932979999,106.62560286,,134.248271436,88.5793046220001,106.62560286,
44,9,0.0,0.0,,,436.83043681159194,-418.31238289763274,1.597456389390572E-9,,237.193347156,-418.312382898,0.0,
84,18,0.0,0.0,,,-212.901581796,418.643404878,-65.186194872,,-140.901581796,526.643404878,-77.186194872,
66,14,0.0,0.0,,,-143.920589832,33.1990498740001,0.0,,-143.920589832,59.9560162500001,0.0,
94,20,0.0,0.0,,,240.873874296,88.5793046220001,0.0,,222.873874296,70.5793046220001,7.5,
114,26,0.0,0.0,,,448.57709574,-35.1388840859999,-106.5626004,,448.57709574,-83.1388840859999,-106.5626004,
55,11,0.0,0.0,,,-269.638421148,-90.9053813459999,125.717831328,,-293.991186636,-61.6820627699999,101.36506584,
81,17,0.0,0.0,,,-205.85072526,-386.99633451,-65.884867476,,-17.0206964040001,-386.99633451,-65.884867476,
72,15,0.0,0.0,,,-233.60219204848147,-181.986002502,179.32087698410083,,-269.638421148,-117.66234771,125.717831328,
75,16,0.0,0.0,,,137.611480332,-526.643404878,-103.434271788,,60.7932024839999,-526.643404878,-103.434271788,
58,12,0.0,0.0,,,-192.626120796,425.887977162,0.0,,-293.991186636,425.887977162,101.36506584,
28,5,0.0,0.0,,,240.873874296,88.5793046220001,0.0,,240.873874296,49.2865301220001,0.0,
51,11,0.0,0.0,,,-395.356252476,-397.171054878,0.0,,-233.60219204848147,-181.98600250108544,161.75406042751857,
19,3,0.0,0.0,,,55.0366349159999,-173.942262378,186.023993748,,48.3335181479998,-181.986002502,179.32087698,
61,12,0.0,0.0,,,-293.991186636,425.887977162,101.36506584,,-293.991186636,-61.6820627699999,101.36506584,
118,27,0.0,0.0,,,418.57709574,-5.13888408599992,-106.5626004,,448.57709574,-35.1388840859999,-106.5626004,
62,13,0.0,0.0,,,-143.920589832,59.9560162500001,0.0,,-192.626120796,59.9560162500001,0.0,
68,14,0.0,0.0,,,-269.638421148,-90.9053813459999,125.717831328,,-269.638421148,-117.66234771,125.717831328,
63,13,0.0,0.0,,,-269.638421148,-90.9053813459999,125.717831328,,-143.920589832,59.9560162500001,0.0,
70,15,0.0,0.0,,,-143.920589832,33.1990498740001,0.0,,-130.987358832,33.1990498740001,0.0,
119,27,0.0,0.0,,,418.57709574,-35.1388840859999,-81.562600392,,418.57709574,-5.13888408599992,-106.5626004,
76,16,0.0,0.0,,,137.611480332,-495.054186378,-92.904532284,,137.611480332,-526.643404878,-103.434271788,
80,17,0.0,0.0,,,-17.0206964040001,-386.99633451,-65.884867476,,-17.0206964040001,-444.708863898,-85.122377268,
101,22,0.0,0.0,,,45.6226685879999,70.5793046220001,7.5,,75.6226685879999,70.5793046220001,7.5,
7,1,0.0,0.0,,,-130.987358832,49.2865301220001,0.0,,27.6226685879999,49.2865301220001,0.0,
50,10,0.0,0.0,,,200.222138112,-194.2418458051525,177.45622402799918,,200.222138112,-184.223586042,177.456224028,
56,11,0.0,0.0,,,-269.638421148,-117.66234771,125.717831328,,-269.638421148,-90.9053813459999,125.717831328,
14,2,0.0,0.0,,,-395.356252476,-397.171054878,0.0,,-36.3861605880002,-397.171054878,0.0,
13,2,0.0,0.0,,,-36.3861605880002,-397.171054878,0.0,,200.222138112,-184.223586042,177.456224028,
35,6,0.0,0.0,,,200.222138112,-184.223586042,177.456224028,,-36.3861605880002,-397.171054878,0.0,
43,9,0.0,0.0,,,237.193347156,-418.312382898,0.0,,100.403593284,-295.201604406,102.592315404,
106,23,0.0,0.0,,,418.57709574,-275.138884086,-81.562600392,,418.57709574,-323.138884086,-81.562600392,
45,9,0.0,0.0,,,200.222138112043,-194.24184580587757,186.72544757345617,,436.83043681159194,-418.31238289763274,1.597456389390572E-9,
